CountryCode,SeriesCode,Description
EGY,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
DZA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
UZB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
UKR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
TUR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
MKD,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
MEX,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
MDA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
MDG,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief.
NIC,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief.
HND,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief.
LBR,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt data for 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of Paris Club rescheduling agreement signed in 2008 and 2010, and HIPC and MDRI debt relief."
SRB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on Central Bank data.
VNM,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS.
ZWE,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS.
SLB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS.
PRY,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS.
PNG,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS.
MAR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS.
KEN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS.
FJI,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS.
BTN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS.
ARG,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS.
CMR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief.
GUY,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief.
TZA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief.
DOM,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2013 are based on reports provided by the country. Short-term debt for 2013 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreement signed in 2005.
